"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","playerid"
"Connor Brogdon","PHI","0","33","33.0","2","2","0","1","6","29","15","5","34","13","1.28","9.29","3.50","4.03","4.14","","0.2","0.2","21205"
"Caleb Kilian","CHC","4","4","20.0","1","1","2","0","0","21","10","3","16","7","1.38","7.19","3.20","4.37","4.35","","0.2","0.2","26213"
"Garrett Richards","TEX","1","40","44.0","2","2","0","0","8","43","20","5","41","16","1.33","8.41","3.22","4.00","4.00","","0.2","0.1","9784"
"Jake Diekman","BOS","0","37","37.0","2","2","0","2","9","30","15","4","47","20","1.34","11.22","4.85","3.70","3.77","","0.2","0.2","5003"
"Chase Silseth","LAA","3","9","21.0","1","1","1","0","0","20","10","3","20","8","1.31","8.63","3.22","4.13","4.14","","0.2","0.1","30074"
"Jason Adam","TBR","0","37","37.0","2","2","0","5","6","30","15","5","42","15","1.22","10.35","3.59","3.77","3.85","","0.2","0.1","11861"
"José Quijada","LAA","0","33","33.0","2","2","0","0","6","28","14","4","39","16","1.30","10.57","4.27","3.70","3.94","","0.2","0.1","19200"
"Bryse Wilson","PIT","8","20","50.0","3","4","2","0","0","54","27","8","36","16","1.40","6.40","2.87","4.81","4.81","","0.2","0.1","19990"
"Brett Anderson","","5","5","29.0","2","2","2","0","0","34","15","3","16","8","1.45","4.93","2.61","4.56","4.56","","0.2","0.2","8223"
"Dillon Tate","BAL","0","37","37.0","2","2","0","1","7","37","16","4","30","12","1.32","7.41","2.87","3.94","4.04","","0.2","0.1","17796"
"Carl Edwards Jr.","WSN","0","34","34.0","2","2","0","2","8","31","15","4","37","15","1.32","9.54","3.92","4.02","4.04","","0.2","0.2","13607"
"Jordan Hicks","STL","0","31","31.0","2","1","0","0","4","26","12","3","35","16","1.36","10.07","4.70","3.51","3.68","","0.2","0.3","19618"
"Colin Poche","TBR","0","38","38.0","2","2","0","5","7","31","16","5","44","15","1.22","10.40","3.53","3.78","3.90","","0.1","0.1","19403"
"Ryan Yarbrough","TBR","9","9","50.0","3","4","3","0","0","54","27","8","34","14","1.35","6.14","2.45","4.75","4.85","","0.1","0.0","16502"
"Trevor Stephan","CLE","0","39","39.0","2","2","0","0","9","34","17","5","42","15","1.26","9.85","3.55","3.91","3.94","","0.1","0.1","19932"
"Ryan Pepiot","LAD","3","6","19.0","1","1","1","0","0","17","9","3","20","9","1.37","9.46","4.14","4.41","4.51","","0.1","0.1","26221"
"David Price","LAD","0","26","26.0","1","1","0","0","2","24","11","3","26","7","1.22","9.04","2.58","3.72","3.81","","0.1","0.1","3184"
"Brooks Raley","TBR","0","37","37.0","2","2","0","2","8","32","14","4","40","13","1.22","9.68","3.17","3.53","3.65","","0.1","0.1","10061"
"Josh Taylor","BOS","0","20","20.0","1","1","0","0","0","17","8","2","22","8","1.30","9.88","3.75","3.65","3.67","","0.1","0.1","17359"
"Matt Barnes","BOS","0","22","22.0","1","1","0","2","0","19","9","2","25","10","1.33","10.40","4.09","3.93","3.75","","0.1","0.1","12863"
"Cole Hamels","","5","5","26.0","1","2","2","0","0","27","13","4","20","10","1.42","6.97","3.32","4.69","4.68","","0.1","0.2","4972"
"Pierce Johnson","SDP","0","24","24.0","1","1","0","0","2","20","10","3","27","10","1.27","10.38","3.89","3.69","3.79","","0.1","0.2","13435"
"Penn Murfee","SEA","0","34","34.0","2","2","0","1","6","30","14","4","35","12","1.25","9.16","3.20","3.76","3.88","","0.1","0.1","25174"
"Kutter Crawford","BOS","2","11","19.0","1","1","1","0","0","18","9","3","19","7","1.31","8.82","3.27","4.33","4.21","","0.1","0.1","20531"
"Tucker Davidson","ATL","3","3","15.0","1","1","1","0","0","15","7","2","14","6","1.40","8.26","3.87","4.17","4.22","","0.1","0.2","19871"
"Kirby Yates","ATL","0","18","18.0","1","1","0","0","0","16","7","2","21","6","1.20","10.43","3.03","3.70","3.59","","0.1","0.1","9073"
"Will Smith","ATL","0","38","38.0","2","2","0","1","8","34","17","5","42","15","1.28","10.00","3.54","3.96","3.97","","0.1","0.3","8048"
"Sam Moll","OAK","0","30","30.0","1","2","0","0","5","25","12","3","31","14","1.34","9.55","4.37","3.54","3.87","","0.1","0.1","14874"
"Bryan Baker","BAL","0","32","32.0","1","2","0","0","5","29","14","4","32","14","1.35","9.06","4.04","4.10","4.34","","0.1","0.0","19804"
"Víctor Arano","WSN","0","27","27.0","1","1","0","0","4","24","11","3","27","10","1.28","9.19","3.33","3.88","3.88","","0.1","0.3","15915"
"Joe Mantiply","ARI","0","37","37.0","2","2","0","1","9","37","16","4","33","12","1.31","8.08","2.89","3.85","3.82","","0.1","0.3","14857"
"Richard Bleier","MIA","0","36","36.0","2","2","0","1","6","38","15","3","25","9","1.31","6.21","2.29","3.60","3.75","","0.1","0.2","7803"
"Ryan Borucki","SEA","0","32","32.0","2","2","0","0","6","28","13","3","34","14","1.29","9.49","3.78","3.56","3.78","","0.1","0.1","16350"
"Mitch White","LAD","2","8","17.0","1","1","1","0","0","16","8","2","16","6","1.30","8.65","3.06","4.20","4.18","","0.1","0.2","19225"
"Sam Long","SFG","3","33","44.0","2","2","1","0","3","41","20","5","42","17","1.33","8.58","3.50","4.06","4.09","","0.1","0.3","25379"
