"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Willson Contreras","CHC","52","233","200","48","10","0","9","30","27","22","57","7","2","1","",".240",".336",".424",".760",".334","114","","-0.6","-0.1","","3.2","0.1","1.0","11609"
"Michael Harris II","ATL","52","195","178","47","10","1","5","24","22","11","43","2","7","2","",".261",".311",".421",".732",".317","101","","0.5","1.2","","0.7","2.0","1.0","25931"
"José Abreu","CHW","57","249","221","59","13","0","10","31","34","22","49","4","0","0","",".265",".340",".456",".796",".346","127","","-0.5","-0.9","","7.2","-5.6","1.0","15676"
"Gavin Lux","LAD","51","201","176","46","8","2","4","23","22","21","38","1","3","1","",".260",".341",".403",".743",".327","113","","0.3","-0.9","","3.3","-0.9","1.0","19955"
"Isaac Paredes","TBR","38","156","136","33","6","1","6","19","20","17","27","2","1","0","",".244",".331",".435",".766",".335","124","","-0.3","0.5","","4.0","0.3","1.0","20036"
"Riley Greene","DET","47","213","189","48","8","2","6","26","20","19","54","2","4","2","",".251",".324",".407",".731",".321","108","","0.0","-0.3","","2.1","0.4","1.0","25976"
"Jose Trevino","NYY","33","127","119","28","6","0","3","13","14","6","24","1","1","0","",".240",".280",".376",".656",".286","85","","-0.3","-0.1","","-2.5","1.9","1.0","16725"
"Steven Kwan","CLE","50","221","195","54","10","2","4","27","20","20","23","2","4","1","",".278",".351",".403",".754",".332","117","","0.1","-0.1","","4.2","-2.1","1.0","24610"
"Kolten Wong","MIL","47","203","181","46","10","1","4","24","21","16","34","4","6","2","",".257",".328",".401",".729",".320","104","","0.4","0.1","","1.3","0.7","0.9","12532"
"Vinnie Pasquantino","KCR","48","203","177","47","10","1","9","26","28","21","30","2","1","0","",".266",".348",".481",".829",".357","132","","-0.3","0.0","","7.2","-4.6","0.9","27676"
"Christian Walker","ARI","55","237","209","51","11","1","10","29","33","24","52","2","1","0","",".243",".326",".448",".774",".335","114","","0.1","0.9","","3.9","-3.3","0.9","13419"
"Yasmani Grandal","CHW","40","167","137","31","5","0","6","20","19","27","38","1","0","0","",".223",".352",".397",".749",".334","119","","-1.0","-0.7","","2.6","-0.6","0.9","11368"
"Mike Yastrzemski","SFG","48","204","179","43","11","1","7","25","24","20","49","2","2","1","",".238",".322",".428",".750",".327","113","","0.0","-0.9","","3.2","-1.5","0.9","14854"
"Jeremy Peña","HOU","52","215","197","47","8","1","8","24","26","12","52","3","4","1","",".238",".292",".411",".703",".306","101","","0.0","-0.8","","0.3","1.5","0.9","21636"
"Andrew Benintendi","NYY","47","208","184","48","9","1","5","26","23","20","36","1","3","1","",".263",".339",".407",".745",".328","115","","-0.2","0.9","","3.4","-1.4","0.9","17901"
"Cal Raleigh","SEA","33","130","117","26","6","0","6","15","17","9","34","1","1","0","",".222",".285",".426",".711",".308","105","","-0.1","-0.3","","0.5","1.9","0.9","21534"
"Miguel Rojas","MIA","49","204","186","49","9","1","4","20","19","13","26","2","4","2","",".260",".312",".376",".687",".302","97","","-0.3","0.6","","-1.0","2.5","0.9","7802"
"Myles Straw","CLE","48","200","175","44","9","1","1","22","15","21","34","1","8","2","",".254",".335",".331",".666",".300","94","","1.0","1.7","","-0.3","2.4","0.9","17620"
"Paul DeJong","STL","41","164","146","33","7","0","7","18","20","13","40","2","2","1","",".226",".298",".413",".710",".310","103","","-0.1","0.5","","0.5","2.3","0.9","18015"
"Alex Verdugo","BOS","51","218","198","56","13","0","5","25","25","16","29","2","2","1","",".284",".339",".426",".765",".332","112","","0.1","0.7","","3.1","-1.7","0.9","17027"
"Joey Wendle","MIA","48","211","192","50","12","1","3","23","19","12","37","4","5","2","",".259",".312",".384",".696",".305","99","","0.3","0.1","","0.1","1.0","0.9","13853"
"Trevor Story","BOS","40","171","153","36","9","1","6","21","21","15","46","2","5","2","",".239",".312",".428",".740",".320","104","","0.5","1.0","","1.2","1.6","0.9","12564"
"Trent Grisham","SDP","44","179","154","35","8","1","5","21","19","20","41","2","3","1","",".228",".320",".395",".714",".315","106","","0.2","0.0","","1.5","0.6","0.9","18564"
"Travis d'Arnaud","ATL","37","153","140","34","7","0","5","17","18","10","33","2","0","0","",".242",".299",".402",".701",".306","94","","-0.4","-0.3","","-1.5","2.3","0.9","7739"
"Harrison Bader","STL","34","132","119","30","5","1","4","15","15","10","28","2","5","2","",".250",".316",".410",".726",".317","107","","0.4","1.6","","1.5","2.1","0.8","18030"
"Brendan Rodgers","COL","50","211","194","53","11","1","6","24","27","13","40","2","0","0","",".271",".321",".439",".761",".330","99","","-0.1","0.4","","-0.4","1.2","0.8","17907"
"Austin Hays","BAL","52","227","208","53","11","1","8","26","28","13","45","4","2","1","",".253",".306",".434",".740",".321","107","","0.0","1.3","","1.9","-1.1","0.8","19363"
"Danny Jansen","TOR","34","132","116","27","5","0","6","17","18","12","26","2","1","0","",".234",".311",".449",".760",".330","111","","-0.2","0.4","","1.5","2.6","0.8","16535"
"Carson Kelly","ARI","35","144","126","30","6","0","5","16","17","14","29","2","0","0","",".234",".318",".406",".723",".318","102","","-0.2","-0.2","","0.1","1.9","0.8","13620"
"Josh Naylor","CLE","47","198","179","48","11","0","8","24","28","16","31","2","1","0","",".271",".332",".466",".798",".345","125","","-0.4","-0.2","","5.4","-3.8","0.8","18839"
